true_class,predicted_class,count
cat,dog,180
dog,cat,160
airplane,ship,155
cat,frog,114
automobile,truck,112
bird,frog,100
deer,horse,98
bird,deer,94
bird,dog,84
deer,bird,80
deer,frog,77
airplane,bird,75
dog,horse,70
cat,bird,69
horse,dog,65
deer,cat,59
horse,deer,59
bird,airplane,58
cat,deer,55
truck,automobile,55
bird,cat,53
airplane,truck,51
cat,horse,50
dog,bird,49
bird,horse,45
horse,cat,45
automobile,ship,42
dog,frog,41
dog,deer,40
frog,cat,40
frog,deer,37
ship,airplane,37
airplane,automobile,36
ship,truck,36
ship,automobile,34
deer,dog,33
frog,bird,33
horse,truck,33
cat,truck,31
frog,dog,29
bird,ship,26
truck,ship,26
airplane,cat,25
cat,ship,23
horse,bird,23
deer,ship,21
deer,airplane,20
cat,airplane,19
truck,airplane,18
ship,bird,16
automobile,airplane,15
bird,truck,15
dog,truck,14
frog,truck,14
horse,frog,14
truck,horse,14
airplane,frog,13
airplane,horse,13
frog,ship,13
truck,cat,12
cat,automobile,11
horse,airplane,11
horse,automobile,11
ship,cat,10
airplane,deer,9
automobile,cat,9
frog,automobile,8
automobile,frog,7
dog,ship,7
horse,ship,7
ship,dog,7
frog,airplane,6
frog,horse,6
airplane,dog,5
bird,automobile,5
dog,airplane,5
dog,automobile,5
ship,deer,5
truck,bird,5
truck,deer,5
deer,truck,4
automobile,deer,3
automobile,dog,3
deer,automobile,3
ship,frog,3
truck,dog,3
automobile,horse,2
ship,horse,2
truck,frog,2
automobile,bird,1
