width_mult,layer_name,layer_type,groups,input_shape,output_shape,macs,flops
0.5,features.0.block.0.depthwise,Conv2d,3,1x3x32x32,1x3x32x32,27648,55296
0.5,features.0.block.0.pointwise,Conv2d,1,1x3x32x32,1x16x32x32,49152,98304
0.5,features.0.block.1.depthwise,Conv2d,16,1x16x32x32,1x16x32x32,147456,294912
0.5,features.0.block.1.pointwise,Conv2d,1,1x16x32x32,1x16x32x32,262144,524288
0.5,features.1.block.0.depthwise,Conv2d,16,1x16x16x16,1x16x16x16,36864,73728
0.5,features.1.block.0.pointwise,Conv2d,1,1x16x16x16,1x32x16x16,131072,262144
0.5,features.1.block.1.depthwise,Conv2d,32,1x32x16x16,1x32x16x16,73728,147456
0.5,features.1.block.1.pointwise,Conv2d,1,1x32x16x16,1x32x16x16,262144,524288
0.5,features.2.block.0.depthwise,Conv2d,32,1x32x8x8,1x32x8x8,18432,36864
0.5,features.2.block.0.pointwise,Conv2d,1,1x32x8x8,1x64x8x8,131072,262144
0.5,features.2.block.1.depthwise,Conv2d,64,1x64x8x8,1x64x8x8,36864,73728
0.5,features.2.block.1.pointwise,Conv2d,1,1x64x8x8,1x64x8x8,262144,524288
0.5,classifier.2,Linear,1,1x64,1x10,640,1280
1.0,features.0.block.0.depthwise,Conv2d,3,1x3x32x32,1x3x32x32,27648,55296
1.0,features.0.block.0.pointwise,Conv2d,1,1x3x32x32,1x32x32x32,98304,196608
1.0,features.0.block.1.depthwise,Conv2d,32,1x32x32x32,1x32x32x32,294912,589824
1.0,features.0.block.1.pointwise,Conv2d,1,1x32x32x32,1x32x32x32,1048576,2097152
1.0,features.1.block.0.depthwise,Conv2d,32,1x32x16x16,1x32x16x16,73728,147456
1.0,features.1.block.0.pointwise,Conv2d,1,1x32x16x16,1x64x16x16,524288,1048576
1.0,features.1.block.1.depthwise,Conv2d,64,1x64x16x16,1x64x16x16,147456,294912
1.0,features.1.block.1.pointwise,Conv2d,1,1x64x16x16,1x64x16x16,1048576,2097152
1.0,features.2.block.0.depthwise,Conv2d,64,1x64x8x8,1x64x8x8,36864,73728
1.0,features.2.block.0.pointwise,Conv2d,1,1x64x8x8,1x128x8x8,524288,1048576
1.0,features.2.block.1.depthwise,Conv2d,128,1x128x8x8,1x128x8x8,73728,147456
1.0,features.2.block.1.pointwise,Conv2d,1,1x128x8x8,1x128x8x8,1048576,2097152
1.0,classifier.2,Linear,1,1x128,1x10,1280,2560
1.5,features.0.block.0.depthwise,Conv2d,3,1x3x32x32,1x3x32x32,27648,55296
1.5,features.0.block.0.pointwise,Conv2d,1,1x3x32x32,1x48x32x32,147456,294912
1.5,features.0.block.1.depthwise,Conv2d,48,1x48x32x32,1x48x32x32,442368,884736
1.5,features.0.block.1.pointwise,Conv2d,1,1x48x32x32,1x48x32x32,2359296,4718592
1.5,features.1.block.0.depthwise,Conv2d,48,1x48x16x16,1x48x16x16,110592,221184
1.5,features.1.block.0.pointwise,Conv2d,1,1x48x16x16,1x96x16x16,1179648,2359296
1.5,features.1.block.1.depthwise,Conv2d,96,1x96x16x16,1x96x16x16,221184,442368
1.5,features.1.block.1.pointwise,Conv2d,1,1x96x16x16,1x96x16x16,2359296,4718592
1.5,features.2.block.0.depthwise,Conv2d,96,1x96x8x8,1x96x8x8,55296,110592
1.5,features.2.block.0.pointwise,Conv2d,1,1x96x8x8,1x192x8x8,1179648,2359296
1.5,features.2.block.1.depthwise,Conv2d,192,1x192x8x8,1x192x8x8,110592,221184
1.5,features.2.block.1.pointwise,Conv2d,1,1x192x8x8,1x192x8x8,2359296,4718592
1.5,classifier.2,Linear,1,1x192,1x10,1920,3840
