true_class,pred_airplane,pred_automobile,pred_bird,pred_cat,pred_deer,pred_dog,pred_frog,pred_horse,pred_ship,pred_truck
airplane,2277,47,102,69,77,16,16,54,266,76
automobile,56,2595,10,28,17,3,17,15,78,181
bird,246,11,1610,248,358,168,171,130,43,15
cat,70,21,165,1747,238,394,150,135,49,31
deer,50,4,115,199,2183,83,108,219,37,2
dog,31,5,128,586,167,1797,59,195,24,8
frog,31,12,127,262,186,64,2264,33,16,5
horse,42,10,76,131,218,140,10,2333,11,29
ship,156,76,21,49,20,8,9,17,2586,58
truck,93,212,15,45,27,15,8,76,94,2415
